Williams, 1, 100, 93, 3, 1420.000, 90, 19, 3, 71,  3.00, 7, 96, 1, 97, 6, 3, 58
Amherst, 2, 98, 91, 3, 1440.000, 87, 15, 5, 73,  3.00, 8, 94, 1, 98, 9, 2, 57
Swarthmore, 3, 96, 90, 6, 1435.000, 84, 16, 5, 77,  2.00, 8, 93, 4, 97, 9, 14, 46
Middlebury, 5, 93, 86, 6, 1385.000, 86, 17, 23, 68,  3.00, 9, 94, 10, 96, 5, 3, 55
Pomona, 4, 94, 87, 1, 1470.000, 91, 15, 20, 71,  1.00, 7, 94, 3, 98, 8, 19, 43
Bowdoin, 6, 92, 87, 9, 1405.000, 83, 20, 14, 68,  3.00, 9, 94, 10, 97, 12, 11, 50
Wellesley, 6, 92, 89, 11, 1375.000, 78, 34, 14, 64,  1.00, 8, 93, 14, 95, 6, 16, 46
Carleton, 6, 92, 87, 11, 1400.000, 76, 31, 12, 65,  1.00, 9, 97, 4, 97, 25, 1, 58
Haverford, 10, 90, 81, 2, 1395.000, 94, 26, 7, 77,  0.30, 8, 95, 10, 96, 13, 16, 44
Claremont McKenna, 9, 91, 85, 6, 1410.000, 85, 17, 8, 82,  2.00, 9, 95, 4, 96, 16, 32, 43
Vassar, 14, 87, 85, 17, 1385.000, 65, 24, 35, 63,  0.30, 8, 95, 4, 96, 11, 64, 33
Davidson, 11, 89, 84, 11, 1345.000, 78, 29, 8, 70,  0.00, 10, 99, 4, 96, 37, 7, 53
Harvey Mudd, 18, 85, 86, 3, 1485.000, 89, 25, 78, 62,  8.00, 9, 94, 22, 98, 14, 53, 33
US Naval Academy, 14, 87, 87, 37, 1250.000, 50, 8, 31, 56,  0.10, 9, 93, 25, 97, 2, 131, 21
Washington and Lee, 12, 88, 77, 10, 1385.000, 83, 19, 1, 72,  0.00, 9, 91, 15, 94, 22, 15, 46
Hamilton, 17, 86, 79, 14, 1385.000, 73, 29, 10, 74,  1.00, 9, 94, 22, 95, 23, 12, 47
Wesleyan, 12, 88, 85, 14, 1387.500, 68, 21, 44, 67,  5.00, 9, 97, 4, 96, 25, 9, 49
Colby, 21, 83, 81, 17, 1342.500, 71, 34, 27, 65,  2.00, 10, 91, 16, 95, 29, 30, 41
Colgate, 21, 83, 81, 21, 1365.000, 64, 33, 31, 62,  2.00, 10, 94, 16, 94, 28, 26, 40
Smith, 19, 84, 84, 35, 1305.000, 60, 47, 10, 68,  3.00, 9, 97, 38, 91, 19, 34, 36
Bates, 21, 83, 82, 21, 1325.000, 66, 32, 27, 68,  3.00, 10, 96, 16, 94, 31, 22, 46
Grinnell, 19, 84, 85, 38, 1345.000, 62, 43, 14, 68,  0.00, 9, 90, 28, 94, 25, 23, 40
Macalester, 25, 81, 82, 20, 1355.000, 69, 43, 57, 64,  1.00, 11, 88, 28, 94, 41, 34, 39
Bryn Mawr, 25, 81, 81, 32, 1295.000, 64, 48, 35, 74,  4.00, 8, 90, 38, 93, 19, 26, 40
Oberlin, 24, 82, 81, 16, 1390.000, 69, 31, 27, 73,  3.00, 9, 95, 35, 94, 31, 41, 38
