Final Rank	School Name	State	Graduation and Retention Rank	Average Freshman Retention Rate	Predicted 6-year Graduation Rate	Actual 6-year Graduation Rate	Difference Between Actual and Predicted Graduation Rates	Faculty Resources Rank	Percent of Classes with Less Than 20 Students	Percent of Classes with 50 or More Students	Student/Faculty Ratio	Percent of Full-time Equivalent Faculty that are Full-time	Selectivity Rank	SAT/ACT 25th-75th Percentile	Entering Freshman in Top 10% of High School Class	Acceptance Rate	Financial Resources Rank	Alumni Giving Rank	Average Alumni Giving Rate
11	!Grinnell College!	(IA)	21	0.92	0.85	0.84	-1	4	0.69	0.01	10/1	0.98	28	1238-1433	0.61	0.64	11	20	0.5
44	!Dickinson College!	(PA)	39	0.89	0.68	0.78	10	73	0.65	0.005	12/1	0.94	63	1130-1310	0.5	0.64	59	81	0.37
48	!Wabash College!	(IN)	95	0.83	0.75	0.69	-6	12	0.77	0.03	10/1	0.99	84	1060-1290	0.38	0.65	16	46	0.43
33	!Kenyon College!	(OH)	25	0.91	0.77	0.83	6	75	0.66	0.03	11/1	0.95	34	1200-1380	0.58	0.65	65	59	0.41
48	!Beloit College!	(WI)	80	0.91	0.7	0.71	1	29	0.74	0	11/1	0.94	74	1120-1320	0.4	0.67	75	39	0.45
28	!University of the South!	(TN)	40	0.9	0.78	0.76	-2	3	0.68	0.01	11/1	0.94	78	1130-1320	0.41	0.68	25	41	0.44
48	!Gettysburg College!	(PA)	55	0.87	0.73	0.75	2	54	0.65	0.01	11/1	0.88	83	1130-1270	0.42	0.68	61	48	0.43
33	!Scripps College!	(CA)	61	0.87	0.75	0.77	2	96	0.67	0.04	12/1	0.88	56	1190-1370	0.45	0.68	3	11	0.53
44	!Rhodes College!	(TN)	62	0.89	0.79	0.68	-11	92	0.56	0.003	12/1	0.92	42	1190-1370	0.55	0.7	71	30	0.48
48	!Lawrence University!	(WI)	81	0.86	0.73	0.67	-6	65	0.72	0.01	11/1	0.92	48	25-30	0.43	0.73	41	14	0.5
42	!Centre College!	(KY)	76	0.87	0.73	0.68	-5	38	0.61	0	11/1	0.95	43	24-29	0.51	0.83	73	2	0.65
